creator_name,userid,comment
"Brian Barczyk", 55694,"58th viewer good vlog as always! Wow Bella sure is amazing!"
"Brian Barczyk", 55694,"Hey Brian I have a question for how long have you been taking care of reptiles? And how old is JJ? Keep up the great work!"
"Brian Barczyk", 55694,"Notification squad!! where are youuuu?"
"Brian Barczyk", 55694,"This is the only channel where I dont look at the title of the videos cause I know that the videos are always full of interesting and amazing content"
"Brian Barczyk", 55694,"Congratulations on 740k subs!"
"Brian Barczyk", 55694,"Roses are redViolets are blueBrian you are the bestAnd so are the rest"
"Brian Barczyk", 55694,"Yo Brian why were you feeding those snakes with live rodents?"
"Brian Barczyk", 55694,"My dream animal would probably be chinchillas"
"Brian Barczyk", 55694,"Congratulations on 265 vlogs Brian keep doing what you do best!"
"Brian Barczyk", 55694,"hey Brian how are you today?"
"Brian Barczyk", 55694,"Good day  Brian! Cool reptiles you showed us today!"
"Brian Barczyk", 55694,"I clicked on the video as soon as I saw it and Im still the 913th viewer..."
"Brian Barczyk", 55694,"Yes! I always get so happy when you post a new video! Keep up the great work"
"Brian Barczyk", 55694,"Good morning people!"
"Brian Barczyk", 55694,"Thank you so much Lori for keeping us updated on whats going on in the shop! Keep up the amazing work!"
"Brian Barczyk", 55694,"Hey Brian could you do more videos with Karma or RJ?"
"Brian Barczyk", 55694,"That jumpscare scared the life out of me... Why did you do this Brian?"
"Cat Man Chris", 56494,"I want to be like these people one day"
"Cole & Marmalade", 56494,"These poor cats..."
"Brave Wilderness", 56576,"Most disgusting episode ever!!!  But I like it!!  Hahaha."
"Brave Wilderness", 56576,"I never understood why anyone would thumb down a video like this. Its educational mesmerising  motivational high quality. Whats there not to like?"
"Brave Wilderness", 56576,"Congratz Coyote! And thank you for the amazing videos! Wish Im rich and can hire you to be my personal wilderness guide and travel all around the world!"
"Brave Wilderness", 56576,"You guys just love watching Coyote puke dont you! Haha... Poor Coyote!"
"Cat Man Chris", 56610,"Is Harry the one who smacked himself into the mirror?  He looks pretty good."
"Cole & Marmalade", 56610,"Chris did you and Diane manage to catch that very young black kitten yet? The one in the carpet garage?"
"Cole & Marmalade", 56610,"1:19 Looks like Marm suddenly got possessed. LOL"
"Cole & Marmalade", 56610,"That fishing net... YIKES.  But I guess it had to be done."
"Cat Man Chris", 56610,"Are you a zoologist?"
"Ginger Kitties Four", 56610,"Do you have that bassinet up on its legs?  Is Athena able to jump up and down to eat or use the litter box?  Or will you put the bassinet on the floor to make it easier for them?"
"BullyAffiliated", 56617,"Do you will have the puppy?"
"Brian Barczyk", 56760,"Pls pls brian can you tell me where you live"
"RandomReposts", 57127,"5.16 = Instant karma"
"NeSekret TV", 57212,"Низкий Вам поклон.спасибо огромное за Ваши труды"
"Parrot Wizard", 57513,"It looks like a child threw their bird who bit them and threw the bird right out the door"
"Info Marvel", 57925,"minuto 2:04 empieza la clase de mate 😣😣"
"Brave Wilderness", 58249,"I swear Coyote is high half the time he films these videos 😂"
"Taylor Nicole Dean", 58249,"Hey Taylor do you think you could do another hedgehog video I’m getting one very soon and I’m very excited"
"Taylor Nicole Dean", 58249,"I love these hedgehog videos because I going to get one in a month"
"Brave Wilderness", 58249,"Ive been around since 700k and I love every video Coyote Mark and Mario make I think its awesome what he does."
"Taylor Nicole Dean", 58249,"Jesus Christ Taylor"
"Taylor Nicole Dean", 58249,"Name the Mexican black king snake bean"
"PugPibbleHedgie", 58249,"Please keep making more hedgehog videos I’m getting mine in 4 weeks we’re just waiting on the breeder"
"Vet Ranch", 58249,"*dog cries*Her: What’s wrongDog: BITCH I HAVE A TUBE DOWN MY NECK"
"GoHerping", 58249,"Thank you for these videos I might be getting a Kenyan Sand Boa in a few months"
"Brave Wilderness", 58249,"Finally a decent YouTuber from Ohio"
"Brave Wilderness", 58249,"Dear Coyote Ive been watching your channel since 700k and Ive seen every adventure youve been on. Ive always loved animals thats why I want to be a marine biologist when I grow up. I love what you do I think its awesome that you appreciate animals so much. I loved the episode where you swam with the manatees. Thats why I watch you because you post real content that inspires all of us. Thank you. Btw Im 12 years old from Arizona."
"Brian Barczyk", 58933,"I used to be scared of snakes until I saw u and taylor"
"Iron Blood Tattoos", 59113,"Ear aching intro.  Please turn it down. Cool?"
"Vet Ranch", 59962,"I’m not a vet or anything but why couldn’t u just cut the dead layer of off till u got to fresh tissue sand it a tad down till it bleeds the sucher it up because that made me cringe because of his knob being cut off and poor bugger"
"Vet Ranch", 59962,"0:50-1:00 he’s got a boner lol but seriously poor bugger"
"BeautifulHusky", 60185,"Thats so cool! Vaguely knew about Disneys Ferdinand the Bull (admittedly Ive never seen the cartoon) but I kinda wanna figure out more about it now! That plush is amazing and so are you. Always nice to see new stuff from ya!"
"BeautifulHusky", 60185,"Saw the Jumanji board game as the thumbnail and I was snared right in girly! That’s like one of my favourite movies of all time and I’m seeing the sequel on Wednesday. I’m so excited!! Awesome haul too!"
"BeautifulHusky", 60185,"Ohhhh my goooooosh I love the colors!!!"
"BeautifulHusky", 60185,"I have to be honest I was nervous about Spirit: Riding Free but its actually really good! Ive seen all the episodes too and Im legitimately excited to see more!"
"BeautifulHusky", 60185,"Those are so cute! I don’t know about you but I’m already playing Christmas music over here! ❤️"
"BeautifulHusky", 60185,"Hey we’re the same age! Seriously happy late Birthday hon! Hope it was incredible!"
"BeautifulHusky", 60185,"What a fantastic find darlin! He is gorgeous!! And your plush collection is freaking amazing!"
"BeautifulHusky", 60185,"Merry Christmas hon! Hope it’s been amazing!"
"Worlds Fuzziest Videos", 61209,"DONT PRESS READ MORE! What A Savage..."
"Taylor Nicole Dean", 61209,"Spot the difference like if u do dddddddddddddddddddddddddddddddddddddddddbdddddddddddddddddddddddddddddddddd"
"Brave Wilderness", 61494,"USAIN BOLT 12:43 LOLOLOLOLOLOL"
"The Dodo", 61576,"Beautiful 😥"
"MonkeyBoo", 61576,"it warms my heart to see a happy monkey"
"Brave Wilderness", 62311,"All these people commenting about Coyotes and Marks responses are making me laugh😂"
"Keystone Puppies", 62406,"Homko Ak Chief a"
"Animal Defenders International", 62737,"December 12th 2017: HAPPY BIRTHDAY BOB BARKER. WE LOVE YOU ♥  (Only 94 years young) ☺"
"LOST HIGHWAY", 62737,"9:09 That was the doozy to end all doozies!!!"
"Epic Wildlife", 63289,"i could be a dead blackpanther"
"Brian Barczyk", 63316,"is no way I step in a pool with a snake and snakes and strike in a pool"
"Zak Georges Dog Training rEvolution", 63541,"my dog lucky wont eat of his bowl hell only eat out peoples hands how do i get him to eat out of his bowl"
"Zak Georges Dog Training rEvolution", 63541,"hey zak Ive got two dogs lucky and max their brothers and their breed is mini foxies. lucky for some reason lucky wont eat any food unless you let him eat out of your hand but max eats anything no matter where his food is. i tried cleaning their bowls more often and moving them near where they hang out instead of inside because lucky is a very timid dog and gets nervous easily i was wondering if you new any reasons why he wont eat unless he can eat from my hand."
"Zak Georges Dog Training rEvolution", 63541,"can you make a video for going on a long road trip with your dog"
"Brave Wilderness", 64892,"What a shock Coyote.Impressive.Convinced to buy the book"
"New York Bully Crew", 64972,"I love how the bully crew calls the dogs bully babies instead of pitbulls. Pitbull is a term for the scumbags that use dogs to fight. I prefer to use names that were intended for the beautiful dogs they are...amstaffs...american bulldogs...bull terriers. And hell bully babies in general for all those that are mixed or pure because ya all know as well as I do love is love. I hate the name pitbull because it was the name given by dog fighters. Ive found people respond better with the original names of the dogs. Its the stigma that the term pitbull brings that I think destroys these dogs true personalities."
"꼬부기아빠 My Pet Diary", 65053,"꼬비야 정말 우주의 신비가 너의 눈에 있다 ...❤"
"꼬부기아빠 My Pet Diary", 65053,"ㅠㅠ너무 이쁘다 쵸꼬비...✨ 보다가 같이 나른해져서 잘 뻔 했습니다.."
"Robin Seplut", 65106,"It wants milk"
"Big Cat Rescue", 65106,"Such a weird meowLoved it tho"
"The Dodo", 65651,"Did yoy keep the puppy and take it home with youplz anser mr.DODO. may god bless you"
"RaleighLink14", 65992,"Since bratayley put up this video annie only went to see her horse 2 times. They travel to much and I totally agree what Raleigh said. Also green horse and green rider... It isnt a great mix. Im not being rude its just my opinion. Xx"
"RaleighLink14", 65992,"I also wanna add she havent seen her horse in like.......AGES! She travels too much and has just almost lost interest. I feel so so bad for a poor horse the horse could be made into a brilliant working horse if somebody like Raleigh was to train it! Young Horse+Young Rider=Fail (most of the time) Ive been riding for 7 years and my parents wont get me a horse because of the time money and dedication it is. Annie has been riding for about 3 lessons over like 5 months. Where is the logic that tells them to buy a horse😂 they only bought the horse coz she liked the colour! Shows how much they know!!NOT"
"RaleighLink14", 65992,"Feel bad for the pony and COMPLETELY agree with Raleigh! But I hope I dont offend Raleigh but when she is angry its kinda funny😂 but seriously at the same time!  Especially when she says bo or however you spell it!!"
"Think Like A Horse", 65992,"I feel sorry for those poor horses! Its not right for them to walk in circles like that because their bodies are permentaly bent!  I would never use that pony rides for myself or my children!!!!"
"Hope For Paws - Official Rescue Channel", 66282,"I love your work"
"Hope For Paws - Official Rescue Channel", 66282,"Can we adopted one please!!!!😩😩❤️❤️❤️❤️❤️❤️😭😭"
"Taylor Nicole Dean", 66597,"When I got my bearded dragon the reptile expert of the store told me not to feed it until the following Monday. I was there on a Thursday. Needless to say I fed that little baby as soon as I got her home! Luckily though he doesnt work there anymore!"
"Taylor Nicole Dean", 66597,"9:23 So pretty! If I had a bigger apartment and a ton of money Id love to get some cute critters!"
"Brave Wilderness", 67841,"The comments for this video are hilarious. (Well the ones talking about Marks reactions anyway)Mark: Did he get you?Coyote: No Mark Im just pretending to be in extreme pain."
"Brave Wilderness", 67841,"After all those other bites and stings this seems rather lackluster..."
"Keedes channel LIVE", 68660,"Рада новому  видео))супер!"
"Keedes channel LIVE", 68660,"Этот новый котенок так Вас полюбил...особенно сынасразу к нему припал..Оставляйте себе))"
"★Amazing Animals TV★", 68660,"Так жалко дельфинов! Больно смотреть!"
"Keedes channel LIVE", 68660,"Как ему повезлочто Вы его нашли)))спасибо Людиииии"
"Keedes channel LIVE", 68660,"Заглядение)))"
"Brian Barczyk", 68781,"No it sound creepy"
"꼬부기아빠 My Pet Diary", 68872,"2:16  꼬부기 보면 예전보다 훨씬 마른게 화면상으로 느껴져서 더 안타까워요."
"", 69106,"OMG PPLZ REACT TO ALL OF THEM :d"
"Brave Wilderness", 69222,"Here before its trending"
"Brave Wilderness", 69222,"#Under1KClub"
"Brave Wilderness", 69222,"When Youre In One Of Those Cities But Leaving Before The Show 🙁"
"Brave Wilderness", 69222,"48 Views And 374 Comments? Mommy! Youtube Is Drunk Again!"
"Epic Wildlife", 69545,"Bruh!"
"Brave Wilderness", 69741,"can I please have one I dont care what I get just please"
"Brave Wilderness", 69741,"ty coyote"
"Viktor Larkhill", 69901,"You are the best human ever"
"Taylor Nicole Dean", 70018,"The sarcasm in your voice when that girl asked if it was an armadillo. I cant right now😂 Petshmo"
"ViralHog", 70191,"Why  is she crying  shes  like  a baby"
"ViralHog", 70277,"Idiot"
"HammyLux", 70944,"My hammy passed away today 😢"
"StormyRabbits", 70944,"Hi Abby!"
"HammyLux", 70944,"You’re so pretty 😍"
"HammyLux", 70944,"You are such a great hamster owner Patch and biggie smalls  are so lucky to have you ❤️"
"StormyRabbits", 70944,"Could you maybe do a video on sore hocks? Please that would be very helpful :)"
"Nichole337", 71107,"😛😛😛😛😍😍😍😍😍 so cute"
"Nichole337", 71107,"Awww your married"
"Nichole337", 71107,"Im sorry that happen to you if i was your mom i would have PUNCHED THEM SO HARD YOU DONT EVEN KNOW. I WOULD HAVE KICKED THEM IN THE NUTS LIKE FOR REAL"
"Brave Wilderness", 71107,"😋😋😋"
"Brave Wilderness", 71107,"AHHH ITS THROUGHING UP RELISH"
"Aarons Animals", 72191,"aww poor micheal!"
"DNL Discovery", 72726,"Cool..."
"꼬부기아빠 My Pet Diary", 72751,"잘생긴 얼굴도 불순물이 되는 꼬부기의 매력❤❤❤"
"Brave Wilderness", 72899,"Here before trending"
"Brian Barczyk", 73291,"I really want that snake with one eye but my parents will say no 😭😭😭😭😭😭😭"
"TCTV", 73531,"tội cho a ấy bị boss hành sml 😂😂"
"Kyle Naegeli", 73727,"Poor turtle"
"Paws Channel", 73798,"Stupid"
"Brave Wilderness", 74700,"Raptor fossil"
"The Pet Collective", 74976,"I have a great cat video on my channel"
"Brian Barczyk", 75127,"Hi"
"The Dodo", 75555,"I feel bad for dog"
"IKM218", 76105,"Heather: *eats the pills*Veronica: *FLYS IN AT HIGH SPEED* STOP HEATHER! I love this animatic tho"
"MonkeyBoo", 76430,"This monkey is so cute"
"Taylor Nicole Dean", 77256,"You hit a million boo ❤️ Proud of you!"
"Taylor Nicole Dean", 77256,"Isnt it cray that you were celebrating 200 000 subs Feb 5th 2017 and in less than a year later October 13th 2017 you have over 800 000 subs. *Applause*"
"The Dodo", 77293,"I cried for 1hour after this 😭😭😭😭😭 props man props"
"MonkeyBoo", 77344,"hallo"
"The Experience", 77542,"Vakkkk no like"
"Mewtley", 77852,"I just Subed this is the best thing I have ever seen"
"Steff J", 77946,"BUY THEM"
"Brave Wilderness", 77997,"what if you see it in your house"
"Hope For Paws - Official Rescue Channel", 78111,"Уроды!!!"
"Hope For Paws - Official Rescue Channel", 78111,"Суки!!!"
"Hope For Paws - Official Rescue Channel", 78111,"А если бы вместо щенков были дети а!!!"
"Robin Seplut", 78541,"OMGGGGG IT LOOKS SO FRICKIN ADORABLEEEEEE!"
"Gohan The Husky", 78541,"Awww!"
"Taylor Nicole Dean", 78950,"turtle turtle! 🐢"
"Swissivory", 78950,"Dope content!!"
"Hope For Paws - Official Rescue Channel", 79237,"These people risk their lives for these dogs.Thats a true hero😊😇"
"drthik1", 79823,"Im totally ok with rabbits getting eaten by snakes but Im just curious.... why are all of their legs bloody? Did the get broken to avoid injuring the snakes?"
"prehistoricpetstv", 79823,"I dont consider myself as someone that is afraid of snakes. I deal with garter snakes all the time at my job (Ive even picked them up to get them out of the way) and Ive dealt with rattlesnakes. But this is crazy. You have some massive balls man"
"Grupero Pegassero Inmortal", 81040,"!Estas son cancines¡ gracias por esta coleccion de musica perrona..."
"Brave Wilderness", 83073,"Seriously this episode was awesome❤Coyote plz make episodes like in which you search for the predator first."
"PetSmart", 84390,"hi"
"ViralHog", 84893,"What the fuck"
"Garrett Rose", 84893,"Y"
"Brave Wilderness", 85398,"I have a turtle XD I named him Timmy but I want a JUMBO turtle too so Timmy can ride the giant turtle I would name Goliath"
"Taylor Nicole Dean", 85398,"Turtles ??????!"
"Keedes channel LIVE", 86236,"у моего друга макса сегодня день рождения с праздником макс"
"Keedes channel LIVE", 86236,"Мими пока!Я буду скучать!"
"Keedes channel LIVE", 86236,"котята бесятся 3:55"
"Keedes channel LIVE", 86236,"поздравляю"
"Keedes channel LIVE", 86236,"вас не узнают на улице?"
"Keedes channel LIVE", 86236,"красиво у вас там а я в болоте живу"
"Keedes channel LIVE", 86236,"здесь был рыжик )))"
"Keedes channel LIVE", 86236,"красиво"
"Keedes channel LIVE", 86236,"класный костюмчик"
"Keedes channel LIVE", 86236,"ну ничего сибе балык"
"Keedes channel LIVE", 86236,"всегда жалко бездомных животных"
"Keedes channel LIVE", 86236,"ну рыжик"
"Keedes channel LIVE", 86236,"Снимите что нибудь про Ночку а?"
"Keedes channel LIVE", 86236,"а сколько ночке лет?"
"Keedes channel LIVE", 86236,"Крутые кружки"
"Keedes channel LIVE", 86236,"шутка удалась я поверил"
"Keedes channel LIVE", 86236,"круто"
"Keedes channel LIVE", 86236,"рыбалка это хорошо"
"Keedes channel LIVE", 86236,"я бы взял котэ"
"Keedes channel LIVE", 86236,"Почему так много дизлайков?"
"Big Cat Rescue", 86396,"They seem very well behaved and to like the attention. How often do humans get in the cage?"
"Bee Strong Honey & Bee Removal", 86494,"Love your videos!"
"Bee Strong Honey & Bee Removal", 86494,"Hottest bee master ever! 🔥🔥"
"Alex Dauterive", 86731,"Yup still a fetus😁😁😁"
"Alex Dauterive", 86731,"New subscriber here"
"Alex Dauterive", 86731,"Loved your reaction 😁"
"Alex Dauterive", 86731,"Mianhae means sorry thats what jungkook said"
"Brian Barczyk", 87084,"Didi😍"
"Brave Wilderness", 87530,"WHy cant I catch a harmless jumping spider?? it cant bite me. Ive done it heaps before."
"Brave Wilderness", 87530,"When he starts talking just after the bite it sounds like he inhaled helium"
"Brave Wilderness", 87530,"*sees eyes* oh crap I should get a light 40x brighter than my current one and see it"
"Brave Wilderness", 87822,"Love your channel"
"Joseph Carter the Mink Man", 88717,"my heart goes out to you"
"LPE360", 88763,"2:20 was not fucking funny at all buy incredibly dangerous."
"Vet Ranch", 89097,"Please if you said this what is a bait dog?  Thankyou."
"Vet Ranch", 89097,"Did I miss this but did you perform the surgery or was a specialist involved?  Amazing what these animals put up with."
"Bee Strong Honey & Bee Removal", 89097,"These experiences you are having with your son will last both of your lifetimes as great great memories.  My hats off to you for your teaching and inclusiveness."
"Vet Ranch", 89097,"Photo with the light behind the photographer."
"Vet Ranch", 89097,"I sure hope you drug the heck out of this poor puppy!"
"Bee Strong Honey & Bee Removal", 89097,"Milwaukee makes a carbide tipped sawzall blade that should fit your machine.  I imagine they are not inexpensive but if they cut the wood as if it were butter er cut the wood as if it were comb they might be worth a look especially if they speed up the work on a stinking humid day!"
"Bee Strong Honey & Bee Removal", 89097,"We need more like you. Congratulations."
"Talking Kitty Cat", 89222,"happy b day gibbyson"
"Feral Pride", 89489,"can you please tell me the soundtracks to this and who makes them. im talking about the synth music in the begining"
"Kamp Kenan", 89748,"Best of luck Kenan. And stay safe"
"ViralBe", 89874,"You forgot the leopard"
"ViralBe", 89874,"2:14 wheres perry? Oh there you are"
"ViralBe", 89874,"You forgot the Saluki dog breed its fast like a gazelle"
"SlideShow ForFun", 89939,"I pray Connor gets a loving forever home and family very soon... God bless you"
"The Dodo", 89939,"Lovely accepting caring Mom... Ninja is lucky and having lots of fun...."
"The Humane Society of the United States", 89939,"Shut the store... Punish the employees or recruite proper employees..."
"The Dodo", 89939,"Great job.... Wanna join you guys.... Keep it up..."
"World Animal Awareness Society", 89939,"Reunion with the family is first priority .. adoption.. second..."
"Viktor Larkhill", 89939,"OMG... You are a true human Viktor... I pray God sends more people like you on this planet Earth.... Betsy she is in safe hands and so sweet... I pray she gets a loving forever home... Pl update..."
"Viktor Larkhill", 89939,"Please save Skye.... God bless you.."
"The Dodo", 89939,"A dog... always and only a mans best friend... God bless you.."
"The Dodo", 89939,"So cute..."
"Viktor Larkhill", 89939,"Hats off to Viktor and his team... God bless you and Skye..."
"Vet Ranch", 89939,"Dog fighting and dog baiting is the biggest disease... Which has to be cured.. the dogs suffer without any of their mistake.."
"Vet Ranch", 89939,"You guys are Angels.. I couldnt believe my eyes when I saw the later part of the video.... Sweet Flynn.. I pray he gets a loving forever family soon... God bless you..."
"Viktor Larkhill", 89939,"Thank God... Sky eating on his own... God bless Viktor and his team....."
"The Dodo", 89939,"Thank you for saving Knight.... God bless you..."
"The Dodo", 89939,"God Bless the rescuer.."
"Viktor Larkhill", 89939,"I pray Edna gets well soon.... Thank you and God bless Viktor..."
"Hope For Paws - Official Rescue Channel", 89939,"I pray she gets a loving forever home and family... Thank you guys for rescuing a lovely dog..."
"Viktor Larkhill", 89939,"Viktor.. the work you are doing is Great... YouTube should not do this... In fact You tube should support you.. God bless Viktor and his team..."
"Stray Rescue of St. Louis", 89939,"You are Angels... God bless you..."
"Stray Rescue of St. Louis", 89939,"Great job... God bless you..."
"Stray Rescue of St. Louis", 89939,"Heartbreaking.... But who did this to the innocent doggy...."
"The Dodo", 89939,"Both of you are Amazing.. God bless you.."
"Hope For Paws - Official Rescue Channel", 89939,"Love your dedication to save the innocent creatures... Thumbs up for you.."
"Max and Katie the Great Danes", 89939,"I pray.. Maxs sores heal fast.. So that he can enjoy his swim.. I Thank his Mom for caring Max... so much.. Just a kid..."
"WaysideWaifs", 89939,"An adorable Dutch...very playful... I pray and wish he gets a loving forever home and family very very soon... God bless you.."
"Viktor Larkhill", 89939,"Does the same theory apply to human beings... older human beings not treated... OMG... Wheres humanity... Thank you Viktor God bless you and your team..."
"The Dodo", 89939,"You guys are so nice.. a very innocent baby.. There can never be a bad dogs .. they are lovable creatures.. There are only bad owners who use and abandon these dogs.."
"New York Bully Crew", 89939,"I always love and respect your work NYBC.... Thumbs up for you... RIP Naji....thank you.. for she was with loving people around.. Victoria is a very playful baby.. I pray.. she gets a loving forever home.. God bless you.."
"Viktor Larkhill", 89939,"Thank God... She is in good hands... God bless you Victor Larkhil.."
"WaysideWaifs", 89939,"Why are humans so inhuman..."
"The Dodo", 89939,"The Angels...."
"The Dodo", 89939,"Thank you Angels.... God bless you...."
"World Animal Awareness Society", 89939,"Poor Pitbulls.. Whats their mistake.. Why are they being killed... Please save a beautiful breed...."
"Alex Knappenberger", 89939,"Hey Brucey.. You are a darling baby... A well behaved guy... Thank you Alex for you are a great Dad... God bless.."
"Stray Rescue of St. Louis", 89939,"A very gentle dog... Thank you for the rescue... Wish she gets a loving forever home and family.... God bless you"
"SlideShow ForFun", 89939,"Together with family... God bless..."
"The Dodo", 89939,"I know you are Craig... NYBC...amazing crew...."
"The Dodo", 89939,"Ayita and her Dad.. an inspiration to many... thank God.. people like him make this world beautiful and trustworthy... God bless you.."
"The Dodo", 89939,"Amazing dogs..."
"Viktor Larkhill", 89939,"Viktor... God bless you... and your team... I pray.. God sends more people like you on this planet Earth... to make it a beautiful place filled with love peace and kindness...."
"SlideShow ForFun", 89939,"Thank you so much for rescuing her... Hope she gets lovely forever home... God bless you.."
"Stray Rescue of St. Louis", 89939,"Hats off to people like you..."
"World Animal Awareness Society", 89939,"Dont buy... Adopt a pet.."
"Vet Ranch", 89939,"Thank you Vet Ranch for saving this innocent soul...."
"Viktor Larkhill", 89939,"You are a true human.. A real Hero... God bless you.."
"Viktor Larkhill", 89939,"A miracle.... Victor.. Your job is great.. God bless you.."
"The Dodo", 89939,"Great job NYBC.. Caci is in safe hands.... Thank you... God bless you..."
"The Humane Society of the United States", 89939,"Great job HSUS... thank you for rescuing the innocent creatures.... they are in safe hands...."
"The Dodo", 89939,"A man with Great heart... God bless you..."
"New York Bully Crew", 89939,"God save Iron... Poor doggy suffering a lot... Thank you NYBC.. for taking up such a great loving job...."
"Viktor Larkhill", 89939,"Please save Amy... God bless"
"Viktor Larkhill", 89939,"RIP Bodi... the one who did this to Bodi shall soon see the pain and suffering and......... Thank you Viktor and team for doing your best.... God bless..."
"Viktor Larkhill", 89939,"Hats off Viktor... Yes I am with you.... God bless you and your team...."
"The Dodo", 89939,"Both are Brand Ambassadors... God bless you both..."
"Hope For Paws - Official Rescue Channel", 89939,"May God bless you all..."
"WaysideWaifs", 89939,"Lovely dog... I pray he gets a loving forever home and family very soon... Thank you for Rory is in safe hands.."
"The Dodo", 89939,"Thank God.. You saved him in the right time.... People like you make me.. . have faith in humanity... God bless you.."
"The Dodo", 89939,"Lovely video...."
"Hope For Paws - Official Rescue Channel", 89939,"So cute... Thank you.. Hope for Paws.. God bless you.."
"Hope For Paws - Official Rescue Channel", 89939,"He is in safe hands... Thank you... God bless you..."
"Michigan Humane Society", 89939,"I think pit bulls are the most abandoned breed... they are bred sold bought and abandoned.. I dont understand why.. God bless your family thank you adopting a lovely dog.."
"Viktor Larkhill", 89939,"Enjoy your life Chuck..... Thank you Viktor and Team..."
"Stray Rescue of St. Louis", 89939,"OMG.. What happened to her.... Thank God she is in safe hands.. God bless you..."
"Stray Rescue of St. Louis", 89939,"She is so sweet and gentle... Thank you for saving it in time... I pray she gets well and goes into a lovely forever home... God bless.."
"The Dodo", 89939,"Mr. Kiss bull.... Haha I"
"Viktor Larkhill", 89939,"Oh my God... Whoever did this to the innocent doggy is going to face the same thing in this life... Viktor... you are God to these creatures... not less than God... I wish I could join you... I pray Sky gets well soon.. God bless you.."
"The Dodo", 89939,"OMG.. The bird is so sensitive... being taken care of.. so gently.."
"Michigan Humane Society", 89939,"I thank MHS.. God bless you.. Baron is a sweet boy.. Thank you Todd and Lara.. for giving Baron lovely forever home.. He is in safe hands.. God bless you all..."
"Michigan Humane Society", 89939,"I couldnt stop my tears when I watched Barons first video.. I am very very happy for him now.. God bless the new family of Baron...."
"The Dodo", 89939,"Thats great....."
"Viktor Larkhill", 89939,"You guys are Angels.. Poor doggy.. Bless you.."
"Viktor Larkhill", 89939,"Victor Larkhil.. I salute you.. I pray for you.. I bless you... You inspire many... I pray for the doggy.. He should get a loving forever home.. Thank you.."
"Viktor Larkhill", 89939,"God Bless you all... Thank you Viktor and his team and the family who adopted him..."
"The Dodo", 89939,"The Man who saved eagles life is the real Hero..."
"The Dodo", 89939,"Great job guys..."
"The Dodo", 89939,"Please save them.. take them out of the shelters... I pray they all get loving forever homes... Please dont take their lives away.. Without any fault of theirs...."
"Jody Hartman / Dog Named Stella", 89939,"Stella.. You are so cute... Best companion...God bless you and your family..."
"SlideShow ForFun", 89939,"Stupid owner...."
"SlideShow ForFun", 89939,"We humans need to learn so much from the animals... Thanks to the people who rescued them.... God bless you...."
"The Dodo", 89939,"Great job.. Thumbs up for you guys..."
"The Dodo", 89939,"True Humans.... God bless you all...."
"The Dodo", 89939,"The dog loves boat rides and hugs also... LOL..."
"SlideShow ForFun", 89939,"A true human being... God bless you..."
"Vet Ranch", 89939,"Thank you very much for your kindness Vet Ranch..."
"Hope For Paws - Official Rescue Channel", 89939,"The foster parents are loving and looking after Spring and her puppies so well.. Thumbs up for you guys.. God bless you all..."
"Hope For Paws - Official Rescue Channel", 89939,"Thank you very much for rescuing Spring and I hope they all get loving forever homes and families.."
"Viktor Larkhill", 89939,"God Bless Viktor and his team and the doggy is so sweet..."
"Viktor Larkhill", 89939,"I pray for Sky.. Oh God... I pray he gets well soon.. and gets a loving forever family... VIKTOR.. and your team... I have no words for you guys.. Only blessings.... God bless you.."
"thedogrescuers", 89939,"Lovely dog... Thank you for rescuing and taking care of the baby..."
"The Dodo", 89939,"Animals always recognize people who love and care for them... Yes.. Adorable otter..."
"The Dodo", 89939,"Oh.. Soo cute... I pray they all get loving forever homes and families... Thank you Dodo..."
"SlideShow ForFun", 89939,"Beautiful..."
"Viktor Larkhill", 89939,"Please save this little pup... Please Viktor... God bless you..."
"The Dodo", 89939,"A Great human...."
"World Animal Awareness Society", 89939,"Thank you for rescuing the innocent puppy.. Tootsie.. I pray you get a loving forever home... Great job guys... God bless you..."
"The Dodo", 89939,"Thank you for rescuing the innocent dogs... Please dont leave the culprits.. without punishment.... I pray they all get loving forever homes and families.."
"The Dodo", 89939,"I Thank the person who rescued this lovely puppy and found a home for him..."
"Michigan Humane Society", 89939,"Whoever has done this doesnt deserve to be on the earth.. Remove him immediately from here. Thank you so much for rescuing innocent dog.. Who is so nice and gentle.."
"Viktor Larkhill", 89939,"I pray God to send more people like you on this planet Earth.. Who spread love and kindness and respect towards every creature.. God bless you Viktor... You inspire many..."
"The Dodo", 89939,"That must be a really good day care... And Hanky loves the place...."
"Hope For Paws - Official Rescue Channel", 89939,"God Bless Hope for Paws..."
"Royal Kennels", 89939,"Cute puppies... So playful... Please dont sell these lovely babies to dog fighters or people who cant treat them as a part of the family... I pray they get lovely families... God bless you.."
"The Dodo", 89939,"The sweetest smile ever...."
"SlideShow ForFun", 89939,"Adorable puppies... Wish a very beautiful life ahead... God bless them...."
"SlideShow ForFun", 89939,"Great people... Great job..."
"Viktor Larkhill", 89939,"OMG... Skye is so beautiful... Viktor you are God in Human form...."
"Viktor Larkhill", 89939,"Thank you.. God bless you.. Long Live.. Viktor... God bless you Kennela..."
"The Dodo", 89939,"Lola... I am so happy for you baby... I thank each and every one.. who helped her in what she is now... I specially thank Lolas mommy.. God bless you..."
"Viktor Larkhill", 89939,"Every life matters..... God bless you Viktor..."
